Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,North,East
AEL,DT,AWE,56,博覽館,AsiaWorld-Expo,1,22.32166667,113.9411111,22.19.18,113.56.28
AEL,DT,AIR,47,機場,Airport,2,22.31611111,113.9366667,22.18.58,113.56.12
AEL,DT,TSY,46,青衣,Tsing Yi,3,22.35833333,114.1069444,22.21.30,114.06.25
AEL,DT,KOW,45,九龍,Kowloon,4,22.305,114.1613889,22.18.18,114.09.41
AEL,DT,HOK,44,香港,Hong Kong,5,22.285,114.1580556,22.17.06,114.09.29
AEL,UT,HOK,44,香港,Hong Kong,1,22.28527778,114.1583333,22.17.07,114.09.30
AEL,UT,KOW,45,九龍,Kowloon,2,22.305,114.1613889,22.18.18,114.09.41
AEL,UT,TSY,46,青衣,Tsing Yi,3,22.35833333,114.1069444,22.21.30,114.06.25
AEL,UT,AIR,47,機場,Airport,4,22.31611111,113.9366667,22.18.58,113.56.12
AEL,UT,AWE,56,博覽館,AsiaWorld-Expo,5,22.32166667,113.9411111,22.19.18,113.56.28
DRL,DT,SUN,54,欣澳,Sunny Bay,1,22.33166667,114.0288889,22.19.54,114.01.44
DRL,DT,DIS,55,迪士尼,Disneyland Resort,2,22.31555556,114.045,22.18.56,114.02.42
DRL,UT,DIS,55,迪士尼,Disneyland Resort,1,22.31555556,114.045,22.18.56,114.02.42
DRL,UT,SUN,54,欣澳,Sunny Bay,2,22.33166667,114.0288889,22.19.54,114.01.44
EAL,DT,LOW,76,羅湖,Lo Wu,1,22.52833333,114.1133333,22.31.42,114.06.48
EAL,DT,SHS,75,上水,Sheung Shui,2,22.50111111,114.1280556,22.30.04,114.07.41
EAL,DT,FAN,74,粉嶺,Fanling,3,22.49222222,114.1386111,22.29.32,114.08.19
EAL,DT,TWO,73,太和,Tai Wo,4,22.45111111,114.1611111,22.27.04,114.09.40
EAL,DT,TAP,72,大埔墟,Tai Po Market,5,22.44472222,114.1705556,22.26.41,114.10.14
EAL,DT,UNI,71,大學,University,6,22.41333333,114.2102778,22.24.48,114.12.37
EAL,DT,FOT,69,火炭,Fo Tan,7,22.39527778,114.1983333,22.23.43,114.11.54
EAL,DT,SHT,68,沙田,Sha Tin,8,22.3825,114.1875,22.22.57,114.11.15
EAL,DT,TAW,67,大圍,Tai Wai,9,22.37305556,114.1952778,22.22.23,114.11.43
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10,22.33694444,114.1761111,22.20.13,114.10.34
EAL,DT,MKK,65,旺角東,Mong Kok East,11,22.32222222,114.1727778,22.19.20,114.10.22
EAL,DT,HUH,64,紅磡,Hung Hom,12,22.27888889,114.1647222,22.16.44,114.09.53
EAL,DT,EXC,94,會展,Exhibition Centre,13,22.28166667,114.1752778,22.16.54,114.10.31
EAL,DT,ADM,2,金鐘,Admiralty,14,22.27888889,114.1647222,22.16.44,114.09.53
EAL,LMC-DT,LMC,78,落馬洲,Lok Ma Chau,1,22.51444444,114.0658333,22.30.52,114.03.57
EAL,LMC-DT,SHS,75,上水,Sheung Shui,2,22.50111111,114.1280556,22.30.04,114.07.41
EAL,LMC-DT,FAN,74,粉嶺,Fanling,3,22.49222222,114.1386111,22.29.32,114.08.19
EAL,LMC-DT,TWO,73,太和,Tai Wo,4,22.45111111,114.1611111,22.27.04,114.09.40
EAL,LMC-DT,TAP,72,大埔墟,Tai Po Market,5,22.44472222,114.1705556,22.26.41,114.10.14
EAL,LMC-DT,UNI,71,大學,University,6,22.41333333,114.2102778,22.24.48,114.12.37
EAL,LMC-DT,FOT,69,火炭,Fo Tan,7,22.39527778,114.1983333,22.23.43,114.11.54
EAL,LMC-DT,SHT,68,沙田,Sha Tin,8,22.3825,114.1875,22.22.57,114.11.15
EAL,LMC-DT,TAW,67,大圍,Tai Wai,9,22.37305556,114.1952778,22.22.23,114.11.43
EAL,LMC-DT,KOT,8,九龍塘,Kowloon Tong,10,22.33694444,114.1761111,22.20.13,114.10.34
EAL,LMC-DT,MKK,65,旺角東,Mong Kok East,11,22.32222222,114.1727778,22.19.20,114.10.22
EAL,LMC-DT,HUH,64,紅磡,Hung Hom,12,22.27888889,114.1647222,22.16.44,114.09.53
EAL,LMC-DT,EXC,94,會展,Exhibition Centre,13,22.28166667,114.1752778,22.16.54,114.10.31
EAL,LMC-DT,ADM,2,金鐘,Admiralty,14,22.27888889,114.1647222,22.16.44,114.09.53
EAL,LMC-UT,ADM,2,金鐘,Admiralty,1,22.27888889,114.1647222,22.16.44,114.09.53
EAL,LMC-UT,EXC,94,會展,Exhibition Centre,2,22.28166667,114.1752778,22.16.54,114.10.31
EAL,LMC-UT,HUH,64,紅磡,Hung Hom,3,22.27888889,114.1647222,22.16.44,114.09.53
EAL,LMC-UT,MKK,65,旺角東,Mong Kok East,4,22.32222222,114.1727778,22.19.20,114.10.22
